org_name,org_website,opportunity_name,opportunity_type,location,application_open_date,deadline,application_url,info_page_url,what_it_supports,who_qualifies,entry_fee,award_amount,mediums_supported,source_link,extraction_date,link_status,notes
The Clemente Center,https://www.theclementecenter.org/,Micro Residencies,Residencies,"New York City, New York, USA",Not specified,Not specified,https://www.theclementecenter.org/micro-residencies,https://www.theclementecenter.org/micro-residencies,short-term residency studio space for experimentation and creation,Not specified,Not specified,Studio access,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,"Program details listed, but current application process not stated on page."
The Steel Yard,https://www.thesteelyard.org/,Residency Program (12-Month Cohort),Residencies,Not specified,Not specified,Not specified,https://www.thesteelyard.org/12-month-residency-application/,https://www.thesteelyard.org/residencies/,long-term studio residency (up to one year),- Artists (details not listed on page),Not specified,Studio access; cohort support,Sculpture / Three-dimensional art (industrial arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Info session and cohort timeline listed; acceptance notifications sent May 2026.
The Steel Yard,https://www.thesteelyard.org/,Steel Yard Scholarships (Courses),Scholarships,Not specified,Rolling,Rolling,https://www.thesteelyard.org/scholarship-form/,https://www.thesteelyard.org/scholarships/,"tuition assistance for welding, blacksmithing, jewelry, and ceramics courses","- Students needing financial assistance
- QTBIPOC students eligible for standing discounts",Free,Full/partial tuition; QTBIPOC discounts 25% or 15%,"Sculpture / Three-dimensional art (metalwork, ceramics, jewelry)",https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Scholarships offered on a rolling basis; apply to one course registration.
The Steel Yard,https://www.thesteelyard.org/,Merit Fellowship,Fellowships,Not specified,Not specified,Not specified,https://www.thesteelyard.org/fellowship-workshare/,https://www.thesteelyard.org/fellowship-workshare/,studio access and monthly stipend for established artists/leaders,"- Established artists and community leaders
- Will mentor/lead within department",Free,$500/month stipend + studio/tools access,Sculpture / Three-dimensional art (industrial arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Year-long fellowship; application process not listed on page.
The Steel Yard,https://www.thesteelyard.org/,Kiln Fellowship,Fellowships,Not specified,Not specified,Not specified,https://www.thesteelyard.org/fellowship-workshare/,https://www.thesteelyard.org/fellowship-workshare/,studio access and monthly stipend for ceramics kiln management,"- Established artists with ceramics/technical proficiency
- Oversee shared ceramics studio",Free,$500/month stipend + studio/tools access,Sculpture / Three-dimensional art (ceramics),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Year-long fellowship; application process not listed on page.
The Steel Yard,https://www.thesteelyard.org/,Alloy Fellowship,Fellowships,Not specified,Not specified,Not specified,https://www.thesteelyard.org/fellowship-workshare/,https://www.thesteelyard.org/fellowship-workshare/,studio access and stipend for emerging artists,- Emerging artists new to their practice,Free,$250/month stipend + studio/tools access,Sculpture / Three-dimensional art (industrial arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Year-long fellowship; application process not listed on page.
The Steel Yard,https://www.thesteelyard.org/,Work Share Fellowship,Fellowships,Not specified,Not specified,Not specified,https://www.thesteelyard.org/fellowship-workshare/,https://www.thesteelyard.org/fellowship-workshare/,studio access for artists who cannot afford program costs,- Emerging and established artists with financial need,Free,Studio/tools access (no stipend listed),Sculpture / Three-dimensional art (industrial arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Application process not listed on page.
Indigo Arts Alliance,https://indigoartsalliance.me/,David C. Driskell Fellowship,Fellowships,"Portland, Maine, USA",Not specified,2026-03-15 00:00:00,https://indigoartsalliance.submittable.com/submit/339993/2026-2027-david-c-driskell-fellowship-at-black-seed-studio,https://indigoartsalliance.me/the-david-driskell-fellowship-program/,"studio residency time, mentorship, and support for artists of color","- Black/Brown artists of color (see page for detailed communities)
- Maine-based or Maine-rooted
- Age 21+
- 2+ years exhibition/studio experience
- Not enrolled full-time in academic program",Free,$700 grant + rent-free studio space up to six months,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,"Residency periods listed for 2026-2027; applications close March 15, 2026."
Indigo Arts Alliance,https://indigoartsalliance.me/,David Driskell Black Seed Studio Fellowship Program,Fellowships,"Portland, Maine, USA",Not specified,Not specified,https://indigoartsalliance.me/the-david-driskell-black-seed-studio-fellowship-program-copy/,https://indigoartsalliance.me/residency-programs/,Residency/fellowship at Black Seed Studio (details not listed),Not specified,Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Learn-more link on residency programs page returns 404; details not available on page.
Adolph and Esther Gottlieb Foundation,https://www.gottliebfoundation.org/,Emergency Grant,Grants,Not specified,Rolling,Rolling,https://gottliebfoundation.submittable.com/submit/74264011-2f09-4a49-a81b-e02957eff286/emergency-grant-application,https://www.gottliebfoundation.org/emergency-grant,one-time emergency assistance for mature visual artists,"- 10+ years in mature phase of work
- Painters, sculptors, or printmakers
- Emergency caused by unforeseen catastrophic incident",Free,"Up to $15,000 (typical $5,000)",Painting / Drawing / Illustration; Sculpture / Three-dimensional art; Other: printmaking,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,No deadlines; applications reviewed as received.
Foundation for Contemporary Arts (FCA),https://www.foundationforcontemporaryarts.org/,Emergency Grants,Grants,Not specified,Not specified,Not specified,https://www.foundationforcontemporaryarts.org/grants/emergency-grants/,https://www.foundationforcontemporaryarts.org/grants/emergency-grants/guidelines/,emergency support for experimental contemporary art projects,- Artists making innovative/experimental work (see guidelines),Free,"$500-$3,000 (avg $2,200)",Multidisciplinary (experimental contemporary arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Emergency Grants page lists grant range; application link not shown on page.
Arts in California Parks,https://caparks-artist-directory.glide.page/dl/d0a5f4,Artist Directory (Arts in California Parks),Other: directory,"California, USA",Not specified,Not specified,https://caparks-artist-directory.glide.page/dl/d0a5f4,https://caparks-artist-directory.glide.page/dl/d0a5f4,artist listing/directory access,Not specified,Not specified,Not applicable,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Directory is a JavaScript app; content not accessible without JS. Needs manual review.
Stochastic Labs,https://stochasticlabs.org/,Stochastic Labs Residencies,Residencies,Not specified,Not specified,Not specified,https://forms.gle/fXoGMigAUaLZJvB97,https://stochasticlabs.org/residencies/,"fully sponsored residency with housing, workspace, and tools","- Exceptional engineers, artists, scientists, and entrepreneurs
- Individuals or teams",Free,Housing + workspace + tools (fully sponsored),Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Residency length is variable; no deadlines listed.
The Awesome Foundation,https://www.awesomefoundation.org/en,Awesome Foundation Grants,Grants,Global (local chapters),Not specified,Not specified,https://www.awesomefoundation.org/en/submissions/new,https://www.awesomefoundation.org/en,micro-grants for awesome projects,Not specified (chapter-specific),Free,1000.0,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Applications handled by local chapters; criteria vary.
Adobe,https://www.adobe.com/about-adobe/creative-residency/community-fund.html,Adobe Creative Residency Community Fund,Grants,Not specified,Not specified,Not specified,https://www.adobe.com/about-adobe/creative-residency/community-fund.html,https://www.adobe.com/about-adobe/creative-residency/community-fund.html,Not specified (page unavailable),Not specified,Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Page timed out during fetch; needs manual review for details.
PhMuseum,https://phmuseum.com/,PhMuseum 2026 Photography Grant,Competitions,Global,Not specified,Not specified,https://phmuseum.com/apply?g=QbYKez,https://phmuseum.com/grants/2026-photography-grant,photography and visual storytelling projects (open theme),- Photographers worldwide (eligibility not explicitly listed),Not specified (entry fee required),"?10,000 total cash prizes (per page description)",Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Page lists prize breakdown and exhibitions but does not show deadline or entry fee amount in HTML.
NJPAC,https://www.njpac.org/,"Stories in Sound, Movement, and Community (Public Art Opportunity)",Public arts and proposals,"New Jersey / New York, USA",Not specified,2026-01-19 00:00:00,https://projectforemptyspace.submittable.com/submit,https://www.njpac.org/publicart/,public art commissions for NJPAC campuses,"- Individual artists or collectives based in NJ or NY
- Age 18+ (individuals)
- Must demonstrate capacity to deliver on time and budget",Free,Not specified,Multidisciplinary (public art),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Eligibility excludes NJPAC employees/selection panel families; apply via Submittable.
Conjunctions Foundation,https://conjunctions.com/,The Conjunctions Residency,Residencies,"Livingston Manor, New York, USA",Not specified,Not specified,https://conjunctions.submittable.com/submit,https://conjunctions.com/announcement/the-conjunctions-residency/,writer residency with room and board,"- Published at least one book
- Demonstrated support for other writers",Not specified,Room and board (3-week residency),Other: writing/literary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Residency takes place in May 2026; exact dates set with awardee.
McLean Project for the Arts,https://mpaart.org/,Spring Solos Exhibition Proposal 2026/2027,Exhibitions,"Mid-Atlantic Region, USA",Not specified,Not specified,https://mpa.submittable.com/submit/342529/spring-solos-exhibition-proposal-2026-2027,https://mpa.submittable.com/submit/342529/spring-solos-exhibition-proposal-2026-2027,solo exhibition proposals for MPA galleries,- Contemporary living artists in the Mid-Atlantic region,Not specified,$500 honorarium,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,"Exhibition dates Apr 30?Jun 13, 2026 (Spring 2027 TBD); no deadline shown on Submittable page."
The Nice Art Grant,Not specified,nice art grant  ·,Grants,Not specified,Not specified,2026-01-20 00:00:00,https://forms.gle/VGSBRnoKxmQaL9kA9,https://www.midwestnice.art/opencalls/niceartgrant,grants opportunity,Not specified,$10 application fee,"Nice Grant is an unrestricted grant of $500 that supports emerging and mid-career artists. This annual grant is due January 20; each cycle, at least two artists will be selected to enhance their creative practices. This grant will be juried by Midwest Nice Art co-founders",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
2026 Mountain Plains Contemporary Art Biennial,Not specified,Call for Artists,Open calls,Not specified,Not specified,2026-01-20 00:00:00,https://artist.callforentry.org/festivals_unique_info.php?ID=16354,https://www.salinaartcenter.org/call-for-artists,open calls opportunity,Not specified,Not specified,$300 – People’s Choice Award,Filmmaking (fiction + non fiction + experimental),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Auto-extracted; verify eligibility and dates on info page.
WORTHLESSSTUDIOS Photographer in Residence,Not specified,Photographer in Residence Open Call 2026 — WORTHLESSSTUDIOS,Residencies,Not specified,Not specified,Not specified,https://worthlessstudios.slideroom.com,https://worthlessstudios.org/photographer-in-residence,residencies opportunity,Not specified,Not specified,"$1,500 artist stipend",Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Auto-extracted; verify eligibility and dates on info page.
CUNY Dance Initiative,Not specified,Apply,Other,Not specified,Not specified,2026-06-15 00:00:00,https://www1.cuny.edu/sites/dance-initiative/apply/,https://www1.cuny.edu/sites/dance-initiative/apply/,other opportunity,Not specified,"A minimum performance fee of $3,000 (if applicable)","Minimum of $1,000 residency honorarium",Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
Flynn Breakthrough: Open Call for Performances for Public Spaces,Not specified,flynn breakthrough,Open calls,Not specified,Not specified,Not specified,https://flynncenter.wufoo.com/forms/q1srm0gx1i4fmth/,https://www.flynnvt.org/Community/flynn-breakthrough,open calls opportunity,Not specified,23) Will I receive feedback if not selected?,17) How many awards?,Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
Call for Art ? THE BIG CHILL,Not specified,THE BIG CHILL prospectus,Open calls,Not specified,Not specified,Not specified,https://artist.callforentry.org/festivals_unique_info.php?ID=16182,https://art-fluent.com/calls-for-art/the-big-chill-prospectus/,open calls opportunity,Not specified,Not specified,Two Director’s Choice awards: $250 each,Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Auto-extracted; verify eligibility and dates on info page.
Center for Creative Photography Fellowships,Not specified,Fellowships,Fellowships,Not specified,Not specified,2026-01-26 00:00:00,https://ccp.arizona.edu/learn/lens-class-request-form/,https://ccp.arizona.edu/research/fellowships/,fellowships opportunity,Not specified,Not specified,"Awards up to $5,000 to support research into the art and career of Josef Breitenbach (1896-1984) and as his work and archive relates to other works and archives in the Center’s collections.",Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
The NYSCA/NYFA Artist Fellowship,Not specified,Just a moment...,Fellowships,Not specified,Not specified,Not specified,https://www.nyfa.org/awards-grants/nysca-nyfa-artist-fellowship/,https://www.nyfa.org/awards-grants/nysca-nyfa-artist-fellowship/,fellowships opportunity,Not specified,Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
Haystack Open Studio Residency 2026,Not specified,OPEN STUDIO RESIDENCy,Residencies,Not specified,Not specified,Not specified,https://haystack.slideroom.com/,https://www.haystack-mtn.org/open-studio-residency,residencies opportunity,Not specified,Not specified,"Studio Techs receive an honorarium of $1,500, room and board on campus, and limited travel costs covered. Studio Techs must be able to lift up to 50 pounds and navigate the campus’s many stairs and terrain comfortably. Most of all, Studio Techs should genuinely enjoy working with and supporting artists in a shared studio space.",Sculpture / Three-dimensional art (ceramics),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Auto-extracted; verify eligibility and dates on info page.
Evolving Freedoms Open Call ? Maguire Art Museum,Not specified,"Evolving Freedoms Exploring Life, Liberty and the Pursuit of Happiness",Open calls,Not specified,Not specified,Not specified,https://www.sju.edu/maguire-art-museum/exhibitions/evolving-freedoms/apply,https://www.sju.edu/maguire-art-museum/exhibitions/evolving-freedoms,open calls opportunity,Not specified,Not specified,Not specified,Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
Blu Sky Artist Award,Not specified,Blu-Sky Artist Award – Ten Moir Gallery,Awards,Not specified,"Sept 13, 2025",Not specified,#entry-form,https://tenmoirgallery.com/blu-sky-emerging-artist-award/,awards opportunity,Not specified,Not specified,"Prestige and recognition await. The Blu Sky Artist Award honors two outstanding artists each round. One in traditional or mixed media, and one in photography or digital, with $1,000 in awards and lasting promotion.",Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
36 Views of Mauna Loa,Not specified,EHCC Gallery Exhibition 2026 - 36 Views of Mauna Loa,Other,Not specified,Not specified,Not specified,https://36viewsofmaunaloa.artcall.org/,https://36viewsofmaunaloa.artcall.org/,other opportunity,Not specified,Not specified,Not specified,Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
ACNMWA accepting Artist Award,Not specified,News & Updates,Awards,Not specified,Not specified,2026-01-31 00:00:00,https://acnmwa.org/learn/news/acnmwa-accepting-artist-award-applications-through-january-31/learn/news/acnmwa-accepting-artist-award-applications-through-january-31,https://acnmwa.org/learn/news/acnmwa-accepting-artist-award-applications-through-january-31,awards opportunity,Not specified,Not specified,"The purpose of this $4,000 award is to help an accomplished woman artist realize her vision and increase the visibility of her achievements. The recipient can use the award for any purpose, including studio expenses, equipment or supplies, childcare, research, travel or study.",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
"BARBARA DEMING MEMORIAL FUND, INC",Not specified,"APPLY — BARBARA DEMING MEMORIAL FUND, INC",Other,Not specified,Not specified,Not specified,https://www.demingfund.org/apply/apply,https://www.demingfund.org/apply,other opportunity,Not specified,Can I receive a fee waiver?,Support grants ($500 - $2000) to individual feminist women in the arts with primary residence in the US and Canada.,Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
Many Hats Collaboration,Not specified,The Hatchery — Many Hats Collaboration,Other,Not specified,Not specified,Not specified,https://forms.gle/yheHr3jGsfwuSZ8K9,https://www.manyhatscollaboration.org/thehatchery,other opportunity,Not specified,Not specified,"Many Hats Collaboration Receives $10,000 Grant - Willamette Week",Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
HAHA 2026 ? Immersive Installation Opportunity,Not specified,Cafe Help,Other,Not specified,Not specified,Not specified,https://www.callforentry.org/artist-help/,https://artist.callforentry.org/festivals_unique_info.php?ID=16254,other opportunity,Not specified,(Entry Fee): $10.00,Not specified,Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Auto-extracted; verify eligibility and dates on info page.
Rijksakademie,Not specified,Apply,Residencies,Not specified,Not specified,Not specified,https://www.rijksakademie.nl/en/residency-apply/apply/nl/residency-apply/apply,https://www.rijksakademie.nl/en/residency-apply/apply,residencies opportunity,Not specified,"My country of residence is (...), do I have to pay the application fee?",Not specified,Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Auto-extracted; verify eligibility and dates on info page.
The Stifel Artist Residency 2026,Not specified,Cafe Help,Residencies,Not specified,Not specified,Not specified,https://www.callforentry.org/artist-help/,https://artist.callforentry.org/festivals_unique_info.php?ID=16463,residencies opportunity,Not specified,(Entry Fee): $20.00,"In addition to teaching, residents will have access to studio space at the Stifel Fine Arts Center and will receive a $750 stipend for materials and equipment to support their artistic practice, as well as a $3000 living stipend. Housing is the artists responsibility. Some reduced housing is possible upon request. During the residency period, artists will offer workshops or classes at the Stifel Fine Arts Center in May. Finally, the resident artist will present an exhibition of the body of work created during their time at the Stifel Fine Arts Center. This exhibition will be open to the public and will also feature documentation of their residency period in the community. Depending on the artists' medium of work, they may be able to participate in vendor markets at Oglebayfest or the Holiday Art Show & Sale, both juried by Oglebay Institute. They will be encouraged to submit work for our annual juried Crosscurrents exhibition, New Appalachia all craft  exhibition and our all ceramic Earth & Fire Exhibition.",Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Auto-extracted; verify eligibility and dates on info page.
Watershed Center for the Ceramic Arts,https://www.watershedceramics.org/residencies/summer-residency/,2026 Summer Residency,Residencies,"Midcoast Maine, USA",2025-11-15 00:00:00,2026-02-01 00:00:00,https://www.watershedceramics.org/residencies/summer-residency/,https://www.watershedceramics.org/residencies/summer-residency/,ceramic arts residency; clay studio practice,"- Any artist comfortable working independently in a clay studio
- Applications reviewed by a panel of practicing ceramic artists
- Scholarship/work exchange requests allowed",25.0,Not specified,Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Applications open Nov 15-Feb 1, 2026; scholarship/work exchange available; application portal not found in saved pages."
Fusion Art,https://www.fusionartps.com/black-and-white-2026-art-competition/,Black & White 2026 Art Competition,Competitions,Global,Not specified,2026-02-01 00:00:00,http://fusionart.submittable.com/submit,https://www.fusionartps.com/black-and-white-2026-art-competition/,black & white themed art and photography,"- 2D and 3D artists worldwide
- Any subject matter
- Works in black & white or shades in between",$25 (1-2 images) or $40 (up to 5),Not specified,Painting / Drawing / Illustration; Photography; Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Online exhibition in Feb 2026; entry fees listed on page; application via Submittable.
New Mexico Highlands University (NMHU) Galleries,http://galleries.nmhu.edu/call-to-artists/,PAPER : OF & ON,Exhibitions,"Las Vegas, New Mexico, USA",Not specified,2026-02-01 00:00:00,https://www.artworkarchive.com/call-for-submission/gina-hartmann/paper-of-on,http://galleries.nmhu.edu/call-to-artists/,"works on, with, or of paper","- U.S. artists using paper as a primary medium or substrate
- Original work only (AI not accepted)
- Up to 4 works may be submitted",Not specified,Not specified,Painting / Drawing / Illustration,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Submission via Artwork Archive (Enter Now button).
Houston Center for Contemporary Craft,https://crafthouston.org/artist-residency/,Artist Residency Program,Residencies,"Houston, Texas, USA",2025-12-01 00:00:00,2026-02-01 00:00:00,https://crafthouston.org/artist-residency/apply-to-program/,https://crafthouston.org/artist-residency/,craft-based residency; studio practice and public engagement,"- Emerging, mid-career, and established craft artists
- Works in craft media (clay, fiber, glass, metal, wood, mixed media)
- Open call runs annually Dec 1-Feb 1",Not specified,Not specified,Sculpture / Three-dimensional art; Fiber / Materials / Textiles,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Apply page available; open call runs annually Dec 1-Feb 1.
Blue Mountain Center,https://www.bluemountaincenter.org/programs,2026 Residencies,Residencies,"Blue Mountain Lake, New York, USA",Not specified,2026-02-01 00:00:00,https://www.bluemountaincenter.org/programs,https://www.bluemountaincenter.org/programs,"month-long residencies for writers, artists, and activists","- Creative and nonfiction writers, activists, and artists of all disciplines
- Work with social/ecological concern
- Sessions in summer and early fall",25.0,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Residency fee is free; application fee $25; apply link not visible in saved HTML.
Hupstate Circus Festival / Constance Saltonstall Foundation for the Arts,https://www.hupstatecircus.org/residency-info,2026 Hupstate Circus Culture Residency,Residencies,"Ithaca, New York, USA",Not specified,Not specified,https://saltonstall.submittable.com/submit/7c35f3ce-bcbb-4c43-a159-4006cc724a04/2026-hupstate-circus-culture-residency,https://www.hupstatecircus.org/residency-info,circus arts residency,"- Age 21+
- New York State residents or Native Nations therein (7 months/year)
- Circus artists across roles; duos allowed; groups not eligible",Not specified,Not specified,Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Submittable link provided; deadline not visible in saved HTML.
Princess Grace Foundation-USA,https://pgfusa.org/apply/,2026 Princess Grace Awards,Awards,United States,Not specified,2026-02-02 00:00:00,https://pgfusa.submittable.com/submit/340930/2026-princess-grace-awards,https://pgfusa.org/apply/,"grants for emerging theater, dance, and film artists","- Nomination by accredited university/professional training program
- Emerging artists in theater, dance, or film categories
- One nominee per category",Free,Not specified,Performance; Filmmaking (fiction + non fiction + experimental),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Round 1 nomination deadline Feb 2 (PT); Round 2 deadline May 1 (PT).
New America,https://www.newamerica.org/fellows/about/how-to-apply/,New America Fellows,Fellowships,United States,Not specified,Not specified,https://www.newamerica.org/fellows/about/how-to-apply/,https://www.newamerica.org/fellows/about/how-to-apply/,"fellowships for writers, thinkers, and public intellectuals",- Eligibility details not available in saved HTML (JS-rendered),Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,unverified,Page content appears JS-rendered; eligibility and deadlines not visible in saved HTML.
Spencer Foundation / Columbia Journalism School,https://spencerfellows.org/,Spencer Fellowship,Fellowships,"New York City, New York, USA",Not specified,2026-02-03 00:00:00,https://spencerfellows.org/how-to-apply-2/,https://spencerfellows.org/how-to-apply-2/,long-form education journalism projects,"- Journalists/educators working on education-focused projects
- No academic prerequisites
- Residential or non-residential fellows",Free,"$85,000 residential or $43,000 non-residential stipend + $7,500 project expenses",Other: journalism/writing,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Deadline for 2026-27 academic year is Feb 3, 2026, 11:59pm EST."
Midland Area Community Foundation / Public Arts Midland,https://www.midlandfoundation.org/artseen26/,2026 Art Seen Festival (Muralist Call),Public arts and proposals,"Sanford, Michigan, USA",2025-12-01 00:00:00,2026-02-05 00:00:00,https://docs.google.com/forms/d/e/1FAIpQLSdEiCygu5p9HVn5onjX8YPNG0C3bcgMRP0Mmw5uM56-UvVvqA/viewform,https://www.midlandfoundation.org/artseen26/,community mural project,"- Great Lakes Bay Region, Michigan residents
- Age 18+
- Family-friendly muralists
- Must be available June 12-15, 2026 and carry liability insurance",Free,"$7,500 stipend (selected artist); $300 proposal stipend for finalists",Painting / Drawing / Illustration,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Apply via Google Form and email portfolio to artseenfestival@gmail.com.
Sloss Metal Arts,https://www.slossmetalarts.com/var,Visiting Artist in Residence (VAR),Residencies,"Birmingham, Alabama, USA",Not specified,2026-02-06 00:00:00,https://www.slossmetalarts.com/var,https://www.slossmetalarts.com/var,metal arts residency; studio practice,"- Professional artists
- US-based or international with own visa",Not specified,Living stipend + materials budget (amount not specified),Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Application form embedded on page; details PDF available.
ArtWalk San Diego / Liberty Station,https://www.artwalksandiego.org/libertystation/artist-application/,21st Annual ArtWalk Liberty Station 2026,Exhibitions,"San Diego, California, USA",Not specified,Not specified,https://www.zapplication.org/login.php?applyingTo=13889,https://www.artwalksandiego.org/libertystation/artist-application/,fine art exhibition/festival,"- Fine art only (no craft or manufactured goods)
- Display photo required
- Must attend full event hours; insurance and permits required",$30 application fee,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Deadlines not visible in saved Zapplication HTML (JS-rendered).
Fine Arts Work Center,https://fawc.slideroom.com/#/login/program/86205,Visual Arts Fellowship,Fellowships,"Provincetown, Massachusetts, USA",Not specified,Not specified,https://fawc.slideroom.com/#/login/program/86205,https://fawc.slideroom.com/#/login/program/86205,visual arts fellowship,- Details require login (SlideRoom),Not specified,Not specified,Painting / Drawing / Illustration; Sculpture / Three-dimensional art; Photography; Graphic Design / Industrial Design; Performance; Sound / Music (experimental + industry),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,requires_login,SlideRoom login required; fellowship details not visible in saved HTML.
Delfina Foundation,https://www.delfinafoundation.com/open-calls/current/,Brooks International Fellowship Programme,Fellowships,"London, UK",Not specified,Not specified,https://www.delfinafoundation.com/open-calls/current/,https://www.delfinafoundation.com/open-calls/current/,international residency/fellowship (details not available),- Details not available; specific listing link is unavailable,Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,unverified,Specific Brooks Fellowship URL returned 404; only open calls landing page available in saved HTML.
Hunterdon Art Museum,https://www.hunterdonartmuseum.org/exhibitions/2026-claybash-exhibition-call-for-entries/,2026 Claybash Exhibition: Call for Entries,Exhibitions,"Clinton, New Jersey, USA",Not specified,Not specified,https://www.hunterdonartmuseum.org/exhibitions/2026-claybash-exhibition-call-for-entries/,https://www.hunterdonartmuseum.org/exhibitions/2026-claybash-exhibition-call-for-entries/,clay-based exhibition,"- Fired work only
- Size/weight limits apply
- Original work",45.0,Not specified,Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Entry fee payment link provided; application submission details not visible in saved HTML.
